aen	aː ə n
verneigen	f ɐ n ɑɪ ʑ ə n
verneigt	f ɐ n ɑɪ ɕ t
vernennen	f ɐ n æ n ə n
vernannt	f ɐ n ɑ n t
vernetzen	f ɐ n æ ts ə n
vernetzt	f ɐ n æ ts t
vernetzung	f ɐ n æ ts u ŋ
vernetzungen	f ɐ n æ ts u ŋ ə n
vernichten	f ɐ n i ɕ t ə n
vernicht	f ɐ n i ɕ t
vernichtung	f ɐ n i ɕ t u ŋ
vernichtungen	f ɐ n i ɕ t u ŋ ə n
vernis	v ɛ ʀ n iː
vernisen	v ɛ ʀ n iː ə n
vernissage	f ɐ n i s aː ʃ
vernissagen	v ɛ ʀ n iː z aː ʒ ə n
vernoléissegen	f ɐ n oː l ɜɪ s ə ʑ ə n
vernoléissegt	f ɐ n oː l ɜɪ s ə ɕ t
veronglécken	f ə ʀ o n g l e k ə n
verongléckt	f ə ʀ o n g l e k t
veronsécheren	f ə ʀ o n z ə ɕ ə ʀ ə n
veronséchert	f ə ʀ o n s ə ɕ ɐ t
veronsécherung	f ə ʀ o n z ə ɕ ə ʀ u ŋ
verpachten	f ɐ p ɑ χ t ə n
verpacht	f ɐ p ɑ χ t
verpackung	f ɐ p ɑ k u ŋ
verpackungen	f ɐ p ɑ k u ŋ ə n
verpaken	f ɐ p aː k ə n
verpaakt	f ɐ p ɑ ɑ k t
verpakung	f ɐ p aː k u ŋ
verpakungen	f ɐ p aː k u ŋ ə n
verpassen	f ɐ p ɑ s ə n
verpasst	f ɐ p ɑ s t
verpennen	f ɐ p æ n ə n
verpennt	f ɐ p æ n t
verpeschten	f ɐ p æ ʃ t ə n
verpescht	f ɐ p æ ʃ t
verpflichten	f ɐ p f l i ɕ t ə n
verpflicht	f ɐ p f l i ɕ t
verpflichtung	f ɐ p f l i ɕ t u ŋ
verpflichtungen	f ɐ p f l i ɕ t u ŋ ə n
verplangen	f ɐ p l ɑ ŋ ə n
verplangt	f ɐ p l ɑ ŋ t
verplanzen	f ɐ p l ɑ n ts ə n
verplanzt	f ɐ p l ɑ n ts t
verplapperen	f ɐ p l ɑ p ə ʀ ə n
verplappert	f ɐ p l ɑ p ɐ t
verplemperen	f ɐ p l æ m p ə ʀ ə n
verplempert	f ɐ p l æ m p ɐ t
verpolveren	f ɐ p o l f ə ʀ ə n
verpolvert	f ɐ p o l f ɐ t
verpoppen	f ɐ p o p ə n
verpoppt	f ɐ p o p t
verproviantéieren	f ɐ p ʀ oː v iː ɑ̃ː n t ɜɪ ə ʀ ə n
verproviantéiert	f ɐ p ʀ oː v iː ɑ̃ː t ɜɪ ɐ t
verpuffen	f ɐ p u f ə n
verpufft	f ɐ p u f t
verquëssen	f ɐ k ə s ə n
verquësst	f ɐ k ə s t
verräissen	f ɐ ʀ æːɪ s ə n
verrass	f ə ʀ ɑ s
verraschten	f ə ʀ ɑ ʃ t ə n
verrascht	f ə ʀ ɑ ʃ t
verräter	f ɐ ʀ ɛː t ɐ
verräterin	f ɐ ʀ ɛː t ə ʀ i n
verräterinnen	f ɐ ʀ ɛː t ə ʀ i n ə n
verrauen	f ɐ ʀ ɑʊ ə n
verraut	f ɐ ʀ æːʊ t
verrechnen	f ə ʀ æ ɕ n ə n
verrechent	f ə ʀ æ ɕ ə n t
verréckt	f ɐ ʀ e k t
verrécktheet	f ɐ ʀ e k t h eː t
verrécktheeten	f ɐ ʀ e k t h eː t ə n
verreent	f ɐ ʀ eː n t
verreesen	f ɐ ʀ eː z ə n
verreest	f ɐ ʀ eː s t
verréider	f ɐ ʀ ɜɪ d ɐ
verréiderin	f ɐ ʀ ɜɪ d ə ʀ i n
verréiderinnen	f ɐ ʀ ɜɪ d ə ʀ i n ə n
verréieren	f ɐ ʀ ɜɪ ə ʀ ə n
verréiert	f ɐ ʀ ɜɪ ɐ t
verreiwen	f ɐ ʀ ɑɪ v ə n
verriwwen	f ɐ ʀ i v ə n
verrenken	f ə ʀ æ ŋ k ə n
verrenkt	f ə ʀ æ ŋ k t
verrennen	f ə ʀ æ n ə n
verrannt	f ɐ ʀ ɑ n t
verrëschten	f ɐ ʀ ə ʃ t ə n
verrëscht	f ɐ ʀ ə ʃ t
verrëtschen	f ɐ ʀ ə t ʃ ə n
verrëtscht	f ɐ ʀ ə t ʃ t
verrigelen	f ɐ ʀ i ʑ ə l ə n
verrigelt	f ɐ ʀ i ʒ æ l t
verroden	f ə ʀ oː d ə n
verrot	f ɐ ʀ oː t
verruff	f ɐ ʀ u f
verrutschen	f ɐ ʀ u t ʃ ə n
verrutscht	f ɐ ʀ u t ʃ t
vers	v ɛ ʀ s
versen	f ɐ z ə n
versäckelen	f ɐ z æ k ə l ə n
versäckelt	f ɐ z æ k ə l t
versacken	f ɐ z ɑ k ə n
versackt	f ɐ z ɑ k t
versalzen	f ɐ z ɑ l ts ə n
versalzt	f ɐ z ɑ l ts t
versammelen	f ɐ z ɑ m ə l ə n
versammelt	f ɐ z ɑ m ə l t
versammlung	f ɐ z ɑ m l u ŋ
versammlungen	f ɐ z ɑ m l u ŋ ə n
versauen	f ɐ z ɑʊ ə n
versaut	f ɐ z ɑʊ t
versaueren	f ɐ z ɑʊ ə ʀ ə n
versauert	f ɐ z ɑʊ ɐ t
versaufen	f ɐ z æːʊ f ə n
versoff	f ɐ z o f
verschäerfen	f ɐ ʃ ɛː ɐ f ə n
verschäerft	f ɐ ʃ ɛː ɐ f t
verschäerfung	f ɐ ʃ ɛː ɐ f u ŋ
verschäerfungen	f ɐ ʃ ɛː ɐ f u ŋ ə n
verschafen	f ɐ ʃ aː f ə n
verschaaft	f ɐ ʃ aː f t
verschaffen	f ɐ ʃ ɑ f ə n
verschafft	f ɐ ʃ ɑ f t
verschäissen	f ɐ ʃ æːɪ s ə n
verschass	f ɐ ʃ ɑ s
verschalen	f ɐ ʃ aː l ə n
verschaalt	f ɐ ʃ aː l t
verschalung	f ɐ ʃ ɑ l u ŋ
verschalungen	f ɐ ʃ ɑ l u ŋ ə n
verschampeléieren	f ɐ ʃ ɑ m p ə l ɜɪ ə ʀ ə n
verschampeléiert	f ɐ ʃ ɑ m p ə l ɜɪ ɐ t
verschandelen	f ɐ ʃ ɑ n d ə l ə n
verschandelt	f ɐ ʃ ɑ n d ə l t
verschanzen	f ɐ ʃ ɑ n ts ə n
verschanzt	f ɐ ʃ ɑ n ts t
verschären	f ɐ ʃ ɛː ʀ ə n
verschäert	f ɐ ʃ ɛː ɐ t
verschätzen	f ɐ ʃ æ ts ə n
verschat	f ɐ ʃ aː t
verschécken	f ɐ ʃ e k ə n
verschéckt	f ɐ ʃ e k t
verschëdden	f ɐ ʃ ə d ə n
verschott	f ɐ ʃ o t
verscheeden	f ɐ ʃ eː d ə n
verscheet	f ɐ ʃ eː t
verschéineren	f ɐ ʃ ɜɪ n ə ʀ ə n
verschéinert	f ɐ ʃ ɜɪ n ɐ t
verschéinerung	f ɐ ʃ ɜɪ n ə ʀ u ŋ
verschéinerungen	f ɐ ʃ ɜɪ n ə ʀ u ŋ ə n
verschéissen	f ɐ ʃ ɜɪ s ə n
verschoss	f ɐ ʃ o s
verschëlden	f ɐ ʃ ə l d ə n
verschëlt	f ɐ ʃ ə l t
verschenken	f ɐ ʃ æ ŋ k ə n
verschenkt	f ɐ ʃ æ ŋ k t
verschidden	f ɐ ʃ i d ə n
verschiddenes	f ɐ ʃ i d ə n ə s
verschimmt	f ɐ ʃ i m t
verschläiss	f ɐ ʃ l æːɪ s
verschläissen	f ɐ ʃ l æːɪ s ə n
verschlass	f ɐ ʃ l ɑ s
verschlechteren	f ɐ ʃ l æ ɕ t ə ʀ ə n
verschlechtert	f ɐ ʃ l æ ɕ t ɐ t
verschlechterung	f ɐ ʃ l æ ɕ t ə ʀ u ŋ
verschlechterungen	f ɐ ʃ l æ ɕ t ə ʀ u ŋ ə n
verschlécken	f ɐ ʃ l e k ə n
verschléckt	f ɐ ʃ l e k t
verschleefen	f ɐ ʃ l eː f ə n
verschleeft	f ɐ ʃ l eː f t
verschleideren	f ɐ ʃ l ɑɪ d ə ʀ ə n
verschleidert	f ɐ ʃ l ɑɪ d ɐ t
verschleieren	f ɐ ʃ l ɑɪ ə ʀ ə n
verschleiert	f ɐ ʃ l ɑɪ ɐ t
verschléissen	f ɐ ʃ l ɜɪ s ə n
verschloss	f ɐ ʃ l o s
verschlëmmeren	f ɐ ʃ l ə m ə ʀ ə n
verschlëmmert	f ɐ ʃ l ə m ɐ t
verschlësselen	f ɐ ʃ l ə s ə l ə n
verschlësselt	f ɐ ʃ l ə s ə l t
verschloen	f ɐ ʃ l oː ə n
verschlofen	f ɐ ʃ l oː f ə n
verschlof	f ɐ ʃ l oː f
verschmieren	f ɐ ʃ m iː ɐ ʀ ə n
verschmiert	f ɐ ʃ m iː ɐ t
verschmotzen	f ɐ ʃ m o t z ə n
verschmotzt	f ɐ ʃ m o ts t
verschnappt	f ɐ ʃ n ɑ p t
verschnauwen	f ɐ ʃ n ɑʊ v ə n
verschnauft	f ɐ ʃ n ɑʊ f t
verschneiden	f ɐ ʃ n ɑɪ d ə n
verschnidden	f ɐ ʃ n i d ə n
verschnëppelen	f ɐ ʃ n ə p ə l ə n
verschnëppelt	f ɐ ʃ n ə p ə l t
verschotert	f ɐ ʃ oː t ɐ t
verschounen	f ɐ ʃ əʊ n ə n
verschount	f ɐ ʃ əʊ n t
verschrauwen	f ɐ ʃ ʀ ɑʊ v ə n
verschrauft	f ɐ ʃ ʀ ɑʊ f t
verschreiwen	f ɐ ʃ ʀ ɑɪ v ə n
verschriwwen	f ɐ ʃ ʀ i v ə n
verschrotten	f ɐ ʃ ʀ o t ə n
verschrott	f ɐ ʃ ʀ o t
verschwammen	f ɐ ʃ w ɑ m ə n
verschwommen	f ɐ ʃ w o m ə n
verschwannen	f ɐ ʃ w ɑ n ə n
verschwonnen	f ɐ ʃ w o n ə n
verschwätzen	f ɐ ʃ w æ ts ə n
verschwat	f ɐ ʃ w aː t
verschweessen	f ɐ ʃ w eː s ə n
verschweesst	f ɐ ʃ w eː s t
verschwenden	f ɐ ʃ w æ n d ə n
verschwent	f ɐ ʃ w æ n t
verschwenderesch	f ɐ ʃ w æ n d ə ʀ ə ʃ
verschwendung	f ɐ ʃ w æ n d u ŋ
verschwéngsen	f ɐ ʃ w e ŋ s ə n
verschwéngst	f ɐ ʃ w e ŋ s t
verschwieren	f ɐ ʃ w iː ɐ ʀ ə n
verschwuer	f ɐ ʃ w uː ɐ
verschwörung	f ɐ ʃ w øː ʀ u ŋ
verschwörungen	f ɐ ʃ w øː ʀ u ŋ ə n
versécheren	f ɐ z ə ɕ ə ʀ ə n
verséchert	f ɐ z ə ɕ ə ʀ t
versécherung	f ɐ z ə ɕ ə ʀ u ŋ
versécherungen	f ɐ z ə ɕ ə ʀ u ŋ ə n
versécherungsnol	f ɐ z ə ɕ ə ʀ u ŋ s n oː l
versécherungsnolen	f ɐ z ə ɕ ə ʀ u ŋ s n oː l ə n
versécherungsspéngel	f ɐ z ə ɕ ə ʀ u ŋ s ʃ p e ŋ ə l
versécherungsspéngelen	f ɐ z ə ɕ ə ʀ u ŋ s ʃ p e ŋ ə l ə n
verséiert	f ɐ z ɜɪ ɐ t
verséissen	f ɐ z ɜɪ s ə n
verséisst	f ɐ z ɜɪ s t
versëlweren	f ɐ z ə l v ə ʀ ə n
versëlwert	f ɐ z ə l v ɐ t
versement	f ɐ z ə m æ n t
versementen	f ɐ z ə m ɑ̃ː ə n
versengen	f ɐ z æ ŋ ə n
versengt	f ɐ z æ ŋ t
versenken	f ɐ z æ ŋ k ə n
versenkt	f ɐ z æ ŋ k t
versenkung	f ɐ z æ ŋ k u ŋ
versetzen	f ɐ z æ ts ə n
versat	f ɐ z aː t
versetzung	f ɐ z æ ts u ŋ
versetzungen	f ɐ z æ ts u ŋ ə n
verseuchen	f ɐ z oɪ ɕ ə n
verseucht	f ɐ z æ u χ t
verseuchung	f ɐ z æ uː χ u ŋ
verseuchungen	f ɐ z æ uː χ u ŋ ə n
versichen	f ɐ z i ɕ ə n
versicht	f ɐ z i ɕ t
versicherungsspéngel	f ɐ z i ɕ ə ʀ u ŋ s ʃ p e ŋ ə l
versicherungsspéngelen	f ɐ z i ɕ ə ʀ u ŋ s ʃ p e ŋ ə l ə n
versickeren	f ɐ z i k ə ʀ ə n
versickert	f ɐ z i k ɐ t
versielen	f ɐ z iə l ə n
versielt	f ɐ z iː ə l t
versiess	f ɐ z iə s
versigelen	f ɐ z i ʑ ə l ə n
versigelt	f ɐ z i ʒ æ l t
versinn	f ɐ z i n
versinner	f ɐ z i n ɐ
versioun	f ɐ z j əʊ n
versiounen	f ɐ z j əʊ n ə n
versoen	f ɐ z oː ə n
versot	f ɐ z oː t
versoffen	f ɐ z o f ə n
versöhnen	f ɐ z øː n ə n
versöhnt	f ɐ z øː n t
versöhnlech	f ɐ z øː n l ə ɕ
versöhnung	f ɐ z øː n u ŋ
versöhnungen	f ɐ z øː n u ŋ ə n
verspären	f ɐ ʃ p ɛː ʀ ə n
verspaart	f ɐ ʃ p aː ʀ t
verspéiden	f ɐ ʃ p ɜɪ d ə n
verspéit	f ɐ ʃ p ɜɪ t
verspéidung	f ɐ ʃ p ɜɪ d u ŋ
verspéidungen	f ɐ ʃ p ɜɪ d u ŋ ə n
verspekuléieren	f ɐ ʃ p e k u l ɜɪ ə ʀ ə n
verspekuléiert	f ɐ ʃ p e k u l ɜɪ ɐ t
verspellegt	f ɐ ʃ p æ l ə ɕ t
verspillen	f ɐ ʃ p i l ə n
verspillt	f ɐ ʃ p i l t
verspreeden	f ɐ ʃ p ʀ eː d ə n
verspreet	f ɐ ʃ p ʀ eː t
verspriechen	f ɐ ʃ p ʀ iə ɕ ə n
versprach	f ɐ ʃ p ʀ ɑ χ
verspriechung	f ɐ ʃ p ʀ iə ɕ u ŋ
verspriechungen	f ɐ ʃ p ʀ iə ɕ u ŋ ə n
verstaatlechen	f ɐ ʃ t aː t l ə ɕ ə n
verstaatlecht	f ɐ ʃ t aː t l ə ɕ t
verstaatlechung	f ɐ ʃ t aː t l ə ɕ u ŋ
verstaatlechungen	f ɐ ʃ t aː t l ə ɕ u ŋ ə n
verstäerken	f ɐ ʃ t ɛː ɐ k ə n
verstäerkt	f ɐ ʃ t ɛː ɐ k t
verstäerker	f ɐ ʃ t ɛː ɐ k ɐ
verstäerkung	f ɐ ʃ t ɛː ɐ k u ŋ
verstäerkungen	f ɐ ʃ t ɛː ɐ k u ŋ ə n
verstand	f ɐ ʃ t ɑ n t
verständlech	f ɐ ʃ t æ n d l ə ɕ
verständnes	f ɐ ʃ t æ n t n ə s
verständnesvoll	f ɐ ʃ t æ n t n ə s f o l
verständnis	f ɐ ʃ t æ n t n i s
verständnisvoll	f ɐ ʃ t æ n t n i s f o l
verstänneg	f ɐ ʃ t æ n ə ɕ
verstännegen	f ɐ ʃ t æ n ə ʑ ə n
verstännegt	f ɐ ʃ t æ n ə ɕ t
verstännegung	f ɐ ʃ t æ n ə ʑ u ŋ
verstatlechen	f ɐ ʃ t ɑ t l ə ɕ ə n
verstatlecht	f ɐ ʃ t ɑ t l ə ɕ t
verstatlechung	f ɐ ʃ t ɑ t l ə ɕ u ŋ
verstatlechungen	f ɐ ʃ t ɑ t l ə ɕ u ŋ ə n
verstauchen	f ɐ ʃ t æːʊ χ ə n
verstaucht	f ɐ ʃ t æːʊ χ t
verstauen	f ɐ ʃ t æːʊ ə n
verstaut	f ɐ ʃ t æːʊ t
verstëbsen	f ɐ ʃ t ə p s ə n
verstëbst	f ɐ ʃ t ə p s t
versteeën	f ɐ ʃ t eː ə n
versteet	f ɐ ʃ t eː t
versteesdemech	f ɐ ʃ t eː s d eː m ə ɕ
versteieren	f ɐ ʃ t ɑɪ ə ʀ ə n
versteiert	f ɐ ʃ t ɑɪ ɐ t
verstéiert	f ɐ ʃ t ɜɪ ɐ t
versteierung	f ɐ ʃ t ɑɪ ə ʀ u ŋ
verstellen	f ɐ ʃ t æ l ə n
verstallt	f ɐ ʃ t ɑ l t
verstëmmen	f ɐ ʃ t ə m ə n
verstëmmt	f ɐ ʃ t ə m t
verstengeren	f ɐ ʃ t æ ŋ ə ʀ ə n
verstengert	f ɐ ʃ t æ ŋ ɐ t
verstoen	f ɐ ʃ t oː ə n
verstanen	f ɐ ʃ t aː n ə n
verstoppches	f ɐ ʃ t o p ɕ ə s
verstoppen	f ɐ ʃ t o p ə n
verstoppt	f ɐ ʃ t o p t
verstouss	f ɐ ʃ t əʊ s
verstéiss	f ɐ ʃ t ɜɪ s
verstoussen	f ɐ ʃ t əʊ s ə n
verstrahlen	f ɐ ʃ t ʀ aː l ə n
verstrahlt	f ɐ ʃ t ʀ aː l t
verstralen	f ɐ ʃ t ʀ aː l ə n
verstraalt	f ɐ ʃ t ʀ aː l t
verstrécken	f ɐ ʃ t ʀ e k ə n
verstréckt	f ɐ ʃ t ʀ e k t
verstreeën	f ɐ ʃ t ʀ e ə n
verstreet	f ɐ ʃ t ʀ eː t
verstriewung	f ɐ ʃ t ʀ i ə v u ŋ
verstriewungen	f ɐ ʃ t ʀ i ə v u ŋ ə n
verstuerwen	f ɐ ʃ t uː ɐ v ə n
verstümmelen	f ɐ ʃ t yː m ə l ə n
verstümmelt	f ɐ ʃ t yː m ə l t
verstümmelung	f ɐ ʃ t yː m ə l u ŋ
verstümmelungen	f ɐ ʃ t yː m ə l u ŋ ə n
versuch	f ɐ z u χ
versuchung	f ɐ z uː χ u ŋ
versuchungen	f ɐ z uː χ u ŋ ə n
versuergen	f ɐ z uː ɐ ʑ ə n
versuergt	f ɐ z uː ɐ ɕ t
versuergung	f ɐ z uː ɐ ʑ u ŋ
versuppen	f ɐ z u p ə n
versuppt	f ɐ z u p t
vertässelen	f ɐ t æ s ə l ə n
vertässelt	f ɐ t æ s ə l t
vertauschen	f ɐ t æːʊ ʃ ə n
vertosch	f ɐ t o ʃ
verteidegen	f ɐ t ɑɪ d ə ʑ ə n
verteidegt	f ɐ t ɑɪ d ə ɕ t
verteideger	f ɐ t ɑɪ d ə ʑ ɐ
verteidegerin	f ɐ t ɑɪ d ə ʑ ə ʀ i n
verteidegerinnen	f ɐ t ɑɪ d ə ʑ ə ʀ i n ə n
verteidegung	f ɐ t ɑɪ d ə ʑ u ŋ
verteidegungen	f ɐ t ɑɪ d ə ʑ u ŋ ə n
vertikal	f ɐ t i k aː l
vertippen	f ɐ t i p ə n
vertippt	f ɐ t i p t
vertounen	f ɐ t əʊ n ə n
vertount	f ɐ t əʊ n t
vertounung	f ɐ t əʊ n u ŋ
vertounungen	f ɐ t əʊ n u ŋ ə n
vertrag	f ɐ t ʀ aː χ
verträg	f ɐ t ʀ æ ɕ
vertraglech	f ɐ t ʀ ɑ g l ə ɕ
vertragspartner	f ɐ t ʀ aː χ s p ɑ ʀ t n ɐ
vertragspartnerin	f ɐ t ʀ aː χ s p ɑ ʀ t n ə ʀ i n
vertragspartnerinnen	f ɐ t ʀ aː χ s p ɑ ʀ t n ə ʀ i n ə n
verträntelen	f ɐ t ʀ æ n t ə l ə n
verträntelt	f ɐ t ʀ æ n t ə l t
vertrauen	f ɐ t ʀ ɑʊ ə n
vertraut	f ɐ t ʀ ɑʊ t
vertrauenspersoun	f ɐ t ʀ ɑʊ ə n s p ɛ ʀ z əʊ n
vertrauenspersounen	f ɐ t ʀ ɑʊ ə n s p ɛ ʀ z əʊ n ə n
vertrauensvoll	f ɐ t ʀ ɑʊ ə n s f o l
vertraulech	f ɐ t ʀ ɑʊ l ə ɕ
vertrautheet	f ɐ t ʀ ɑʊ t h eː t
vertréischten	f ɐ t ʀ ɜɪ ʃ t ə n
vertréischt	f ɐ t ʀ ɜɪ ʃ t
vertrëppelen	f ɐ t ʀ ə p ə l ə n
vertrëppelt	f ɐ t ʀ ə p ə l t
vertrieden	f ɐ t ʀ iə d ə n
vertrueden	f ɐ t ʀ uə d ə n
vertrieder	f ɐ t ʀ iə d ɐ
vertriederin	f ɐ t ʀ iə d ə ʀ i n
vertriederinnen	f ɐ t ʀ iə d ə ʀ i n ə n
vertriedung	f ɐ t ʀ iə d u ŋ
vertriedungen	f ɐ t ʀ iə d u ŋ ə n
vertuschen	f ɐ t u ʃ ə n
vertuscht	f ɐ t u ʃ t
veruechten	f ɐ uə ɕ t ə n
veruecht	f ɐ uə ɕ t
veruerteelen	f ɐ uː ɐ t eː l ə n
veruerteelt	f ɐ uː ɐ t eː l t
veruerteelung	f ɐ uː ɐ t eː l u ŋ
veruerteelungen	f ɐ uː ɐ t eː l u ŋ ə n
veruzen	f ɐ uː ts ə n
veruuzt	f ɐ uː ts t
vervollstännegen	f ɐ f o l ʃ t æ n ə ʑ ə n
vervollstännegt	f ɐ f o l ʃ t æ n ə ɕ t
verwackelen	f ɐ v ɑ k ə l ə n
verwackelt	f ɐ v ɑ k ə l t
verwäerten	f ɐ v ɛː ɐ t ə n
verwäert	f ɐ v ɛː ɐ t
verwalten	f ɐ v ɑ l t ə n
verwalt	f ɐ v ɑ l t
verwalter	f ɐ v ɑ l t ɐ
verwalterin	f ɐ v ɑ l t ə ʀ i n
verwalterinnen	f ɐ v ɑ l t ə ʀ i n ə n
verwaltung	f ɐ v ɑ l t u ŋ
verwaltungen	f ɐ v ɑ l t u ŋ ə n
verwaltungsgeriicht	f ɐ v ɑ l t u ŋ s g ə ʀ iː ɕ t
verwaltungsgeriichter	f ɐ v ɑ l t u ŋ s g ə ʀ iː ɕ t ɐ
verwaltungsrot	f ɐ v ɑ l t u ŋ s ʀ oː t
verwaltungsréit	f ɐ v ɑ l t u ŋ s ʀ ɜɪ t
verwandelen	f ɐ v ɑ n d ə l ə n
verwandelt	f ɐ v ɑ n d ə l t
verwannen	f ɐ v ɑ n ə n
verwonnen	f ɐ v o n ə n
verwarnen	f ɐ v ɑ ʀ n ə n
verwarnt	f ɐ v ɑ ʀ n t
verwarnung	f ɐ v ɑ ʀ n u ŋ
verwarnungen	f ɐ v ɑ ʀ n u ŋ ə n
verwäsch	f ɐ v æ ʃ
verwässeren	f ɐ v æ s ə ʀ ə n
verwässert	f ɐ v æ s ɐ t
verwässerung	f ɐ v æ s ə ʀ u ŋ
verwässerungen	f ɐ v æ s ə ʀ u ŋ ə n
verwéckelen	f ɐ v e k ə l ə n
verwéckelt	f ɐ v e k ə l t
verwécklung	f ɐ v e k l u ŋ
verwécklungen	f ɐ v e k l u ŋ ə n
verweigeren	f ɐ v ɑɪ ʑ ə ʀ ə n
verweigert	f ɐ v ɑɪ ʑ ɐ t
verweigerung	f ɐ v ɑɪ ʑ ə ʀ u ŋ
verweigerungen	f ɐ v ɑɪ ʑ ə ʀ u ŋ ə n
verweis	f ɐ v ɑɪ s
verweiser	f ɐ v ɑɪ z ɐ
verweisen	f ɐ v ɑɪ z ə n
verwisen	f ɐ v iː z ə n
verwëlderen	f ɐ v ə l d ə ʀ ə n
verwëldert	f ɐ v ə l t ɐ t
verwëllef	f ɐ v ə l ə f
verwëllefer	f ɐ v ə l ə f ɐ
verwëlleft	f ɐ v ə l ə f t
verwenden	f ɐ v ə n d ə n
verwent	f ɐ v ə n t
verwendung	f ɐ v ə n d u ŋ
verwendungen	f ɐ v ə n d u ŋ ə n
verwennen	f ɐ v æ n ə n
verwennt	f ɐ v æ n t
verwënschen	f ɐ v ə n ʃ ə n
verwënscht	f ɐ v ə n ʃ t
verwerfen	f ɐ v ɛ ʀ f ə n
verworf	f ɐ v ɔ ʀ f
verwerflech	f ɐ v ɐ f l ə ɕ
verwëschen	f ɐ v ə ʃ ə n
verwëscht	f ɐ v ə ʃ t
verwielegen	f ɐ v iə l ə ʑ ə n
verwielegt	f ɐ v iə l ə ɕ t
verwielen	f ɐ v iə l ə n
verwielt	f ɐ v iə l t
verwieren	f ɐ v iː ɐ ʀ ə n
verwiert	f ɐ v iː ɐ t
verwierklechen	f ɐ v iː ɐ k l ə ɕ ə n
verwierklecht	f ɐ v iː ɐ k l ə ɕ t
verwierklechung	f ɐ v iː ɐ k l ə ɕ u ŋ
verwiesselen	f ɐ v iə s ə l ə n
verwiesselt	f ɐ v iə s ə l t
verwiesslung	f ɐ v iə s l u ŋ
verwiesslungen	f ɐ v iə s l u ŋ ə n
verwinnen	f ɐ v i n ə n
verwinnt	f ɐ v i n t
verwitteren	f ɐ v i t ə ʀ ə n
verwittert	f ɐ v i t ɐ t
verwonnt	f ɐ v o n t
verwonnerlech	f ɐ v o n ɐ l ə ɕ
verwonnert	f ɐ v o n ɐ t
verwonnerung	f ɐ v o n ə ʀ u ŋ
verwuerelen	f ɐ v uː ɐ ʀ ə l ə n
verwuerelt	f ɐ v uː ɐ ʀ ə l t
verwuerzelt	f ɐ v uː ɐ ts ə l t
verwuess	f ɐ v uə s
verwurrelen	f ɐ v u ʀ ə l ə n
verwurrelt	f ɐ v u ʀ ə l t
verzapen	f ɐ ts aː p ə n
verzaapt	f ɐ ts aː p t
verzauberen	f ɐ ts ɑʊ b ə ʀ ə n
verzaubert	f ɐ ts ɑʊ b ɐ t
verzeien	f ɐ ts ɑɪ ə n
verzien	f ɐ ts iː ə n
verzéien	f ɐ ts ɜɪ ə n
verzunn	f ɐ ts u n
verzeiung	f ɐ ts ɑɪ u ŋ
verzerren	f ɐ ts ɐ ʀ ə n
verzerrt	f ɐ ts ɐ ʀ t
verzerrung	f ɐ ts ɐ ʀ u ŋ
verzerrungen	f ɐ ts ɐ ʀ u ŋ ə n
verzichten	f ɐ ts i ɕ t ə n
verzicht	f ɐ ts i ɕ t
verzielen	f ɐ ts iə l ə n
verzielt	f ɐ ts iə l t
verzierung	f ɐ ts iː ʀ u ŋ
verzierungen	f ɐ ts iː ɐ ʀ u ŋ ə n
verzollen	f ɐ ts o l ə n
verzollt	f ɐ ts o l t
verzweifelen	f ɐ ts w ɑɪ f ə l ə n
verzweifelt	f ɐ ts w ɑɪ f æ l t
verzweiflung	f ɐ ts w ɑɪ f l u ŋ
verzweiwelen	f ɐ ts w ɑɪ v ə l ə n
verzweiwelt	f ɐ ts w ɑɪ v ə l t
verzweiwlung	f ɐ ts w ɑɪ v l u ŋ
vesper	v æ s p ɐ
vesperen	v æ s p ə ʀ ə n
vestiaire	v æ s t j ɛː ʀ
vestiairen	v æ s t j ɛː ʀ ə n
veteran	v ə t ə ʀ ɑ n
veteranen	v ə t ə ʀ ɑ̃ː ə n
veteranin	v ə t ə ʀ ɑ n i n
veteraninnen	v ə t ə ʀ ɑ n i n ə n
veterinaire	v ə t ə ʀ i n ɛː ʀ
veterinairen	v ə t ə ʀ i n ɛː ʀ ə n
veterinairin	v ə t ə ʀ i n ɛː ʀ i n
veterinairinnen	v ə t ə ʀ i n ɛː ʀ i n ə n
veterinär	v ə t ə ʀ i n ɛː ʀ
veterinären	v ə t ə ʀ i n ɛː ʀ ə n
veterinärin	v ə t ə ʀ i n ɛː ʀ i n
veterinärinnen	v ə t ə ʀ i n ɛː ʀ i n ə n
veto	v ə t oː
vetoen	v ə t oː ə n
vexéieren	v æ k s ɜɪ ə ʀ ə n
vexéiert	v æ k s ɜɪ ɐ t
viaduc	v i aː d u k
viaducen	v i aː d uː s ə n
viadukt	v i aː d u k t
viadukten	v i aː d u k t ə n
vibrafon	v i b ʀ æ f ɑ̃ː
vibrafonen	v i b ʀ æ f ɑ̃ː ə n
vibraphon	v i b ʀ aː f oː n
vibraphonen	v i b ʀ aː f oː n ə n
vibratioun	v i b ʀ ɑ ts j əʊ n
vibratiounen	v i b ʀ ɑ ts j əʊ n ə n
vibréieren	v i b ʀ ɜɪ ə ʀ ə n
vibréiert	v i b ʀ ɜɪ ɐ t
victime	v i k s j m ə
victimmen	v i k t i m ə n
victoire	v i k t w aː ʀ
victoiren	v i k t w aː ʀ ə n
